truth_table,mean_certificate_size,anf_terms_degree_1,khrapchenko_product,decision_tree_leaf_count,target_NAND,lower_NAND,upper_NAND,position_NAND,target_NOR,lower_NOR,upper_NOR,position_NOR,target_AND_OR_NOT,lower_AND_OR_NOT,upper_AND_OR_NOT,position_AND_OR_NOT,exact_aon_cover_upper
13444,2.5625,1,4.654545454545455,8,13.0,4.654545454545455,21.75,0.5466631215102365,12.0,4.654545454545455,21.75,0.48816804041478323,10.0,4.654545454545455,13.11111111111111,0.7503583373148591,14
13445,2.8125,3,5.4,9,15.0,5.4,24.0,0.5698924731182795,13.0,5.4,24.0,0.4623655913978494,12.0,5.4,14.555555555555555,0.8300970873786407,20
13446,3.125,2,6.666666666666667,10,16.0,6.666666666666667,26.25,0.5276595744680851,15.0,6.666666666666667,26.25,0.47659574468085103,13.0,6.666666666666667,16.0,0.7857142857142858,21
13447,3.0625,2,6.34920634920635,9,15.0,6.34920634920635,24.0,0.5467625899280575,14.0,6.34920634920635,24.0,0.4901079136690647,13.0,6.34920634920635,14.555555555555555,0.9323017408123792,20
13448,2.5625,0,4.654545454545455,8,13.0,4.654545454545455,21.75,0.5466631215102365,11.0,4.654545454545455,21.75,0.42967295931933,9.0,4.654545454545455,13.11111111111111,0.6321070234113713,14
13449,3.125,4,6.666666666666667,10,17.0,6.666666666666667,26.25,0.5787234042553191,13.0,6.666666666666667,26.25,0.37446808510638296,14.0,6.666666666666667,16.0,0.8928571428571428,21
13450,2.8125,1,5.4,9,14.0,5.4,24.0,0.5161290322580645,12.0,5.4,24.0,0.4086021505376344,12.0,5.4,14.555555555555555,0.8300970873786407,19
13451,3.0625,3,6.34920634920635,9,15.0,6.34920634920635,24.0,0.5467625899280575,13.0,6.34920634920635,24.0,0.43345323741007186,13.0,6.34920634920635,14.555555555555555,0.9323017408123792,20
13452,2.625,1,4.266666666666667,7,11.0,4.266666666666667,19.5,0.5076586433260394,10.0,4.266666666666667,19.5,0.4420131291028446,9.0,4.266666666666667,11.666666666666666,0.7747747747747749,13
13453,3.0,3,5.142857142857143,9,14.0,5.142857142857143,24.0,0.5227272727272727,13.0,5.142857142857143,24.0,0.4696969696969697,12.0,5.142857142857143,14.555555555555555,0.8347386172006747,18
13454,3.0,2,5.142857142857143,9,13.0,5.142857142857143,24.0,0.4696969696969697,13.0,5.142857142857143,24.0,0.4696969696969697,12.0,5.142857142857143,14.555555555555555,0.8347386172006747,18
13455,2.75,2,5.0625,8,11.0,5.0625,21.75,0.4157303370786517,13.0,5.0625,21.75,0.5355805243445693,12.0,5.0625,13.11111111111111,0.9861949956859362,17
